lazy src	title-single	main-p
https://stimg.b-cdn.net/images/450/data/2026y/May/61632/Peach-Georgette-Occasional-Wear-Embroidery-Work-Mother-Daughter-Combo-Readymade-Plazzo-Suit-6159-2063-3(1).jpg	Peach Georgette Embroidery Work Occasional Wear Mother Daughter Combo Readymade Plazzo Suit	INR 5545
https://stimg.b-cdn.net/images/450/data/2026y/May/61632/Lime-Yellow-Georgette-Occasional-Wear-Embroidery-Work-Mother-Daughter-Combo-Readymade-Plazzo-Suit-6159-2063-2(1).jpg	Lime Yellow Georgette Embroidery Work Occasional Wear Mother Daughter Combo Readymade Plazzo Suit	INR 5545
https://stimg.b-cdn.net/images/450/data/2026y/May/61632/Sky-Blue-Georgette-Occasional-Wear-Embroidery-Work-Mother-Daughter-Combo-Readymade-Plazzo-Suit-6159-2063-1(1).jpg	Sky Blue Georgette Embroidery Work Occasional Wear Mother Daughter Combo Readymade Plazzo Suit	INR 5545
https://stimg.b-cdn.net/images/450/data/2026y/May/61631/Rani-Pink-Chinon-Occasional-Wear-Embroidery-Work-Readymade-Shrug-Style-Blouse-With-Plazzo-ROSY-5867(1).jpg	Rani Pink Chinon Embroidery Work Occasional Wear Readymade Shrug Style Blouse With Plazzo	INR 5695
https://stimg.b-cdn.net/images/450/data/2026y/May/61631/Pink-Chinon-Occasional-Wear-Embroidery-Work-Readymade-Shrug-Style-Blouse-With-Plazzo-ROSY-5866(1).jpg	Pink Chinon Embroidery Work Occasional Wear Readymade Shrug Style Blouse With Plazzo	INR 5695
https://stimg.b-cdn.net/images/450/data/2026y/May/61631/Red-Chinon-Occasional-Wear-Embroidery-Work-Readymade-Shrug-Style-Blouse-With-Plazzo-ROSY-5865(1).jpg	Red Chinon Embroidery Work Occasional Wear Readymade Shrug Style Blouse With Plazzo	INR 5695
https://stimg.b-cdn.net/images/450/data/2026y/May/61631/Navy-Blue-Chinon-Occasional-Wear-Embroidery-Work-Readymade-Shrug-Style-Blouse-With-Plazzo-ROSY-5864(1).jpg	Navy Blue Chinon Embroidery Work Occasional Wear Readymade Shrug Style Blouse With Plazzo	INR 5695
https://stimg.b-cdn.net/images/450/data/2026y/May/61622/Green-Gmy-Silk-Occasional-Wear-Embroidery-Work-Readymade-Sharara-Suit-6162-1712-E(1).jpg	Green Gmy Silk Embroidery Work Occasional Wear Readymade Sharara Suit	INR 2295
https://stimg.b-cdn.net/images/450/data/2026y/May/61622/Off-White-Gmy-Silk-Occasional-Wear-Embroidery-Work-Readymade-Sharara-Suit-6162-1712-D(1).jpg	Off White Gmy Silk Embroidery Work Occasional Wear Readymade Sharara Suit	INR 2295
https://stimg.b-cdn.net/images/450/data/2026y/May/61622/Black-Gmy-Silk-Occasional-Wear-Embroidery-Work-Readymade-Sharara-Suit-6162-1712-C(1).jpg	Black Gmy Silk Embroidery Work Occasional Wear Readymade Sharara Suit	INR 2295
https://stimg.b-cdn.net/images/450/data/2026y/May/61622/Dusty-Rose-Gmy-Silk-Occasional-Wear-Embroidery-Work-Readymade-Sharara-Suit-6162-1712-B(1).jpg	Dusty Rose Gmy Silk Embroidery Work Occasional Wear Readymade Sharara Suit	INR 2295
https://stimg.b-cdn.net/images/450/data/2026y/May/61622/Yellow-Gmy-Silk-Occasional-Wear-Embroidery-Work-Readymade-Sharara-Suit-6162-1712-A(1).jpg	Yellow Gmy Silk Embroidery Work Occasional Wear Readymade Sharara Suit	INR 2295
